49,1,The Netherlands,3
50,2,Richmond,4
51,3,Virginia,12
52,4,Amsterdam,4
53,5,Queens,4
54,6,New York City,6
55,7,Charlottesville,5
56,8,Myrtle Ave,3
57,9,North Bergen,3
58,10,Georgia,2
59,11,Texas,3
60,12,Houston,3
61,13,Columbus,1
62,14,Little York Rd.,1
63,15,St. Mary's Road,1
64,16,Washington,2
65,17,Seattle,1
66,18,Howell St.,1
67,19,Alder St,1
68,20,Paris,3
69,21,France,1
70,22,Keswick,3
71,23,Lee Highway,1
72,24,Merrifield,1
73,25,El Paso,1
74,26,Hudspeth County,1
75,27,Rio Grande,1
76,28,McNary,1
77,29,McRae Blvd,1
78,30,Denver,3
79,31,Colorado,3
80,32,Camp George West Military Reservation,2
81,33,US,7
82,34,Los Angeles,2
83,35,Culver City,1
84,36,California,1
85,37,San Gabriel,1
86,38,Greenlawn Ave.,1
87,39,Imperial Highway,1
88,40,City Park,1
89,41,El Segundo,1
90,42,LAX,1
91,43,Sheldon St.,1
92,44,Hubbard St.,1
93,45,New Jersey,3
94,46,Canada,2
95,47,Detroit,1
96,48,Michigan,1
97,49,Van Dyke Avenue,1
98,50,Afghanistan,5
99,51,Sudan,2
100,52,Boston,1
101,53,University Drive,1
102,54,Germany,3
103,55,Hamburg,3
104,56,Springfield,3
105,57,Egypt,2
106,58,Dulles Airport,1
107,59,Washington DC,1
108,60,Cairo,1
109,61,Wash. DC,1
110,62,Floyd Ave.,1
111,63,Atlanta,1
112,64,New Orleans,1
113,65,Coal Mine Road,2
114,66,Colfax Avenue,1
115,67,Capitol Ave.,2
116,68,Springfield VA,1
117,69,O'Hare,1
118,70,Chicago,1
119,71,Illinois,1
120,72,Green Bay,1
121,73,Wisconsin,1
122,74,Manhattan,2
123,75,2932 University Drive,1
124,76,Webster Ave.,1
125,77,Bronx,1
126,78,New York,1
127,79,United Arab Emirates,2
128,80,Springfield Mall,1
129,81,Haarlem,2
130,82,Lublin,1
131,83,Poland,1
132,84,Europe,1
133,85,Bremerhaven,1
134,86,Trenton Avenue,1
135,87,Trenton,1
136,88,Rhinelander Platz.,1
137,89,Buenos Aires,1
138,90,Hezboliah,1
139,91,Guantanamo,2
140,92,Marshall Avenue,1
141,93,Minneapolis,1
142,94,Minnesota,1
143,95,Laurel Avenue,1
144,96,Bowling Green,1
145,97,Kentucky,1
146,98,Rue St. Sebastien,1
147,99,Cuba,1
148,100,Kandahar,1
149,101,St. Mary 's Terrace,1
150,102,Paddington,1
151,103,London,1
152,104,Miami,1
