0,208,46,date,"22 December, 2001",1
1,194,32,date,"1 April, 2003",2
2,169,7,date,"20 April, 2003",7
3,171,9,date,"30 March, 2003",2
4,174,12,date,"16 April, 2003",3
5,178,16,date,"13 April, 2003",3
6,172,10,date,"10 April, 2003",4
7,165,3,date,"22 April, 2003",6
8,173,11,date,"6 April, 2003",2
9,167,5,date,April 30,1
10,164,2,date,"26 April, 2003",3
11,176,14,date,"14 April, 2003",2
12,182,20,date,"25 April, 2003",4
13,195,33,date,"April 20, 2003",1
14,196,34,date,"April 21, 2003",1
15,175,13,date,"15 April, 2003",4
16,166,4,date,"24 April, 2003",2
17,187,25,date,"23 April, 2003",2
18,177,15,date,"11 April, 2003",1
19,181,19,date,"April 26, 2003",1
20,163,1,date,"27 April, 2003",7
21,206,44,date,January 1996,1
22,207,45,date,1996,1
23,203,41,date,"March, 1993",1
24,204,42,date,1990 - 1992,1
25,205,43,date,1987 - 1993,1
26,168,6,date,"21 April, 2003",1
27,170,8,date,"April 25, 2003",1
28,179,17,date,"8 April, 2003",1
29,180,18,date,"7 April, 2003",1
30,183,21,date,"29 April, 1930",1
31,184,22,date,"29 April, 1930hrs",1
32,185,23,date,"5 April, 2003",1
33,186,24,date,12 Feb. 1997,1
34,188,26,date,"29 April, 2003",1
35,189,27,date,"19 April, 2003",1
36,190,28,date,"18 April, 2003",1
37,191,29,date,"April 18, 2003",1
38,192,30,date,"2 December, 2001",1
39,193,31,date,"I2 December, 20011",1
40,197,35,date,1994,1
41,198,36,date,"12 April, 2003",1
42,199,37,date,"8 April, 2002",1
43,200,38,date,"9 April, 2003",1
44,201,39,date,April 2003,1
45,202,40,date,March of 2003,1
